Date,AAPL,AMZN,GOOGL,META,MSFT
2017-01-03,26.952709197998047,37.68349838256836,40.35418701171875,116.62035369873047,56.930572509765625
2017-01-04,26.922542572021484,37.85900115966797,40.342201232910156,118.44660186767578,56.67584228515625
2017-01-05,27.059452056884766,39.022499084472656,40.604400634765625,120.42253875732422,56.67584228515625
2017-01-06,27.36111831665039,39.79949951171875,41.21320343017578,123.15692901611328,57.1671028137207
2017-01-09,27.611732482910156,39.84600067138672,41.311588287353516,124.64386749267578,56.98515319824219
2017-01-10,27.639577865600586,39.79499816894531,41.25315475463867,124.0949935913086,56.966957092285156
2017-01-11,27.788089752197266,39.95100021362305,41.4454345703125,125.8314208984375,57.48550796508789
2017-01-12,27.672069549560547,40.68199920654297,41.428955078125,126.36033630371094,56.957862854003906
2017-01-13,27.623336791992188,40.856998443603516,41.49937057495117,128.07679748535156,57.03974533081055
2017-01-17,27.84610366821289,40.486000061035156,41.3255729675293,127.60778045654297,56.88508987426758
2017-01-18,27.843780517578125,40.374000549316406,41.403480529785156,127.65766906738281,56.857784271240234
2017-01-19,27.79505729675293,40.45199966430664,41.17124557495117,127.28843688964844,56.67584228515625
2017-01-20,27.84610366821289,40.416500091552734,41.36103057861328,126.77947998046875,57.07613754272461
2017-01-23,27.864665985107422,40.89400100708008,42.173099517822266,128.66558837890625,57.27626037597656
2017-01-24,27.83914566040039,41.12200164794922,42.42780685424805,129.1046905517578,57.78571319580078
2017-01-25,28.282360076904297,41.82600021362305,42.873294830322266,131.21035766601562,57.93126678466797
2017-01-26,28.29628562927246,41.95750045776367,42.79987716674805,132.50770568847656,58.46799850463867
2017-01-27,28.298606872558594,41.78850173950195,42.20306396484375,131.908935546875,59.84169387817383
2017-01-30,28.22434425354004,41.51900100708008,41.14427947998047,130.71139526367188,59.2503776550293
2017-01-31,28.15936851501465,41.17399978637695,40.962486267089844,130.05276489257812,58.8137092590332
2017-02-01,29.87654685974121,41.61750030517578,40.71527099609375,132.956787109375,57.840301513671875
2017-02-02,29.82550048828125,41.997501373291016,40.86609649658203,130.57168579101562,57.46730041503906
2017-02-03,29.953128814697266,40.5099983215332,40.95949172973633,130.71139526367188,57.93126678466797
2017-02-06,30.233905792236328,40.38199996948242,41.03390884399414,131.7891845703125,57.894874572753906
2017-02-07,30.521648406982422,40.625,41.41396713256836,131.5696258544922,57.70384216308594
2017-02-08,30.63999366760254,40.98550033569336,41.44643020629883,133.92478942871094,57.62196731567383
2017-02-09,30.861392974853516,41.06800079345703,41.455421447753906,133.8649139404297,58.27695846557617
2017-02-10,30.791475296020508,41.37300109863281,41.69464874267578,133.91481018066406,58.222373962402344
2017-02-13,31.064151763916016,41.826499938964844,41.8999137878418,133.7751007080078,58.87738037109375
2017-02-14,31.46735382080078,41.81949996948242,41.95335006713867,133.5755157470703,59.0970344543457
2017-02-15,31.581546783447266,42.1349983215332,41.81800842285156,133.16635131835938,59.060420989990234
2017-02-16,31.544269561767578,42.207000732421875,42.06023025512695,133.56553649902344,59.05126953125
2017-02-17,31.63048553466797,42.253501892089844,42.27897644042969,133.25616455078125,59.14280700683594
2017-02-21,31.858877182006836,42.821998596191406,42.41482162475586,133.44578552246094,59.0238151550293
2017-02-22,31.954437255859375,42.78049850463867,42.519203186035156,135.84085083007812,58.90483093261719
2017-02-23,31.81926727294922,42.609500885009766,42.501220703125,135.08241271972656,59.14280700683594
2017-02-24,31.84956932067871,42.262001037597656,42.34190368652344,135.16226196289062,59.14280700683594
2017-02-27,31.912490844726562,42.43199920654297,42.43479919433594,136.13026428222656,58.785865783691406
2017-02-28,31.926467895507812,42.25199890136719,42.19806671142578,135.2620391845703,58.55705261230469
2017-03-01,32.57902526855469,42.65399932861328,42.788394927978516,137.13818359375,59.43568420410156
2017-03-02,32.385597229003906,42.445499420166016,42.44378662109375,136.4795379638672,58.58450698852539
2017-03-03,32.576698303222656,42.49399948120117,42.405330657958984,136.88868713378906,58.80415725708008
2017-03-06,32.474151611328125,42.330501556396484,42.31493377685547,137.13818359375,58.82246017456055
2017-03-07,32.51610565185547,42.30099868774414,42.50871276855469,137.0184326171875,58.94145202636719
2017-03-08,32.394935607910156,42.525001525878906,42.6330680847168,137.4375762939453,59.48143005371094
2017-03-09,32.32033920288086,42.650001525878906,42.84282684326172,137.95651245117188,59.243473052978516
2017-03-10,32.42755126953125,42.62300109863281,43.02112579345703,138.50537109375,59.42653274536133
2017-03-13,32.44153594970703,42.72949981689453,43.179443359375,139.313720703125,59.22517013549805
2017-03-14,32.39259719848633,42.62649917602539,43.24586868286133,139.0343017578125,58.95060729980469
2017-03-15,32.73518753051758,42.64849853515625,43.36972427368164,139.43348693847656,59.26179122924805
2017-03-16,32.78877258300781,42.67100143432617,43.45013427734375,139.7029266357422,59.161094665527344
2017-03-17,32.625640869140625,42.615501403808594,43.56849670410156,139.55322265625,59.37162399291992
2017-03-20,32.96823501586914,42.8484992980957,43.34575271606445,139.65301513671875,59.42653274536133
2017-03-21,32.59068298339844,42.15999984741211,42.45827102661133,138.2259521484375,58.76754379272461
2017-03-22,32.95891189575195,42.40299987792969,42.44129180908203,139.30374145507812,59.51805877685547
2017-03-23,32.842376708984375,42.36899948120117,41.93437194824219,139.24386596679688,59.37162399291992
2017-03-24,32.77713394165039,42.28049850463867,41.709129333496094,140.0522003173828,59.4722900390625
2017-03-27,32.833065032958984,42.340999603271484,41.877437591552734,140.03225708007812,59.582115173339844
2017-03-28,33.51358413696289,42.79999923706055,41.98331832885742,141.4692840576172,59.75600814819336
2017-03-29,33.58816909790039,43.715999603271484,42.444786071777344,142.35745239257812,59.92076110839844
2017-03-30,33.54389572143555,43.81700134277344,42.42530822753906,142.1179656982422,60.14039993286133
2017-03-31,33.48096466064453,44.32699966430664,42.34140396118164,141.75869750976562,60.27769470214844
2017-04-03,33.49028396606445,44.57550048828125,42.788394927978516,141.98822021484375,59.99398422241211
